CustomerID,Age,Subscription_Length_Months,Monthly_Bill,Total_Usage_GB,Support_Calls,Contract_Type,Payment_Method,Has_Additional_Services,Churn
46,54,3,121.82,302.36,1,Two Year,Debit Card,0,0
47,68,6,12.1,105.06,6,One Year,Credit Card,0,0
48,24,58,21.35,369.61,1,Month-to-Month,PayPal,0,1
49,38,6,198.64,204.32,9,One Year,UPI,1,1
50,26,53,23.67,255.62,9,Two Year,Credit Card,1,0
51,56,2,18.75,448.87,1,Month-to-Month,UPI,0,0
52,35,58,77.07,229.2,4,One Year,Debit Card,1,0
53,21,58,194.17,313.37,8,Month-to-Month,UPI,1,0
54,42,18,70.55,480.89,8,Month-to-Month,PayPal,1,1
55,31,23,87.88,225.97,9,Month-to-Month,UPI,0,0
56,67,2,130.47,280.58,0,Two Year,Credit Card,0,0
57,26,12,14.58,292.42,6,One Year,Credit Card,1,0
58,43,22,180.58,120.74,9,Month-to-Month,Credit Card,1,0
59,70,37,108.69,368.59,9,One Year,UPI,0,1
60,19,20,98.69,363.46,2,Two Year,Credit Card,0,1
61,37,39,173.54,107.17,9,Month-to-Month,UPI,1,1
62,45,24,191.08,7.16,9,Month-to-Month,UPI,1,0
63,64,48,90.45,499.47,0,Month-to-Month,Credit Card,1,0
64,24,20,42.76,291.0,1,One Year,PayPal,0,1
65,61,1,164.98,90.93,5,One Year,Credit Card,0,0
66,25,1,86.62,142.14,9,Month-to-Month,Debit Card,1,0
67,64,17,187.75,309.09,1,One Year,Debit Card,1,0
68,52,59,190.48,69.24,1,One Year,PayPal,1,0
69,31,1,31.82,19.12,3,Month-to-Month,Debit Card,0,0
70,34,53,191.75,399.34,2,Month-to-Month,PayPal,0,0
71,53,52,79.97,358.07,7,Month-to-Month,UPI,1,0
72,67,45,132.79,155.15,7,Two Year,Debit Card,0,0
73,57,30,16.6,29.72,5,Month-to-Month,PayPal,0,0
74,21,41,178.89,243.39,3,Month-to-Month,Credit Card,0,0
75,19,47,131.9,138.46,6,Month-to-Month,Debit Card,0,0
76,23,3,132.28,199.19,8,Month-to-Month,Debit Card,1,0
77,71,46,181.41,137.35,1,Month-to-Month,PayPal,0,0
78,59,55,106.59,88.05,5,Month-to-Month,UPI,1,0
79,21,11,88.0,193.8,6,Month-to-Month,PayPal,1,1
80,71,24,174.56,482.46,0,Month-to-Month,PayPal,1,1
81,46,22,151.06,133.48,5,Two Year,Debit Card,0,0
82,35,44,190.31,168.32,7,One Year,PayPal,0,0
83,43,45,188.62,164.96,6,Two Year,Credit Card,1,1
84,61,26,82.64,240.4,1,Two Year,PayPal,1,0
85,51,13,94.93,421.83,1,Month-to-Month,Credit Card,1,0
86,27,1,58.64,201.36,3,Month-to-Month,Credit Card,1,0
87,53,24,135.52,403.17,4,Month-to-Month,PayPal,0,0
88,31,10,79.26,57.95,4,Month-to-Month,UPI,0,0
89,48,35,159.36,447.51,1,One Year,Credit Card,0,0
90,65,24,33.09,93.06,6,One Year,Credit Card,0,1
91,32,28,32.12,20.08,7,Two Year,Credit Card,1,0
92,25,36,48.85,79.6,1,One Year,UPI,0,0
93,31,16,26.02,95.78,3,Two Year,PayPal,1,0
94,40,40,127.81,254.5,2,Month-to-Month,UPI,0,0
95,74,16,38.0,225.24,3,Two Year,PayPal,0,0
96,57,59,40.39,358.08,4,Two Year,Credit Card,1,1
97,38,17,12.7,25.95,5,One Year,Debit Card,1,0
98,33,51,158.6,249.1,1,Two Year,Credit Card,1,0
99,62,54,164.34,166.57,9,Month-to-Month,PayPal,0,0
100,35,15,40.78,315.54,5,Month-to-Month,UPI,1,1
101,64,16,150.51,22.33,8,Month-to-Month,Credit Card,1,0
102,70,15,92.37,17.95,7,Month-to-Month,Credit Card,0,0
103,41,57,55.52,213.91,0,One Year,PayPal,1,0
104,43,34,128.06,405.76,8,Two Year,PayPal,1,0
105,42,11,43.91,335.71,9,Two Year,Debit Card,0,0
106,62,1,153.81,8.84,1,Two Year,Credit Card,1,0
107,58,15,19.05,89.65,0,Two Year,Credit Card,1,0
108,46,26,192.23,113.75,5,Month-to-Month,Credit Card,1,0
109,32,51,23.66,211.82,0,One Year,Debit Card,1,0
110,62,4,120.1,293.56,5,Two Year,Debit Card,0,1
111,18,43,181.42,108.62,1,Two Year,Credit Card,1,1
112,42,5,12.26,191.57,6,One Year,PayPal,1,0
113,24,35,104.72,292.18,6,Two Year,UPI,0,0
114,26,13,76.5,192.03,3,One Year,Credit Card,0,1
115,41,10,120.26,72.01,1,Two Year,Credit Card,0,1
116,18,11,52.84,246.08,6,One Year,Credit Card,1,0
117,61,18,22.33,162.34,0,Two Year,PayPal,0,0
118,25,34,128.93,432.16,1,Month-to-Month,Debit Card,1,0
119,41,39,89.2,387.92,1,Two Year,UPI,0,1
120,28,41,128.27,95.54,0,Month-to-Month,UPI,1,1
121,68,42,50.0,76.74,8,One Year,Debit Card,1,0
122,34,50,74.36,174.16,5,Month-to-Month,Credit Card,0,1
123,25,23,116.72,206.38,2,Two Year,Credit Card,0,0
124,52,7,122.69,466.04,5,Month-to-Month,UPI,0,0
125,52,59,80.74,151.16,6,Month-to-Month,UPI,0,0
126,50,39,63.21,433.86,2,Two Year,Credit Card,1,0
127,22,3,62.0,252.9,3,One Year,PayPal,0,1
128,59,12,43.19,442.87,9,Month-to-Month,Credit Card,1,1
129,56,7,71.83,351.13,0,Two Year,PayPal,1,0
130,58,49,47.89,354.34,5,Month-to-Month,Credit Card,0,0
131,45,26,130.42,259.64,5,One Year,UPI,1,0
132,24,33,118.12,420.23,8,One Year,Credit Card,0,0
133,26,37,82.69,127.59,1,One Year,Credit Card,0,1
134,25,48,71.91,453.72,4,Month-to-Month,Debit Card,0,0
135,29,15,55.15,318.57,4,Two Year,Credit Card,0,0
136,51,2,111.74,219.64,6,One Year,Credit Card,1,0
137,50,41,184.59,491.1,4,Two Year,Credit Card,0,0
138,65,7,140.28,431.08,9,One Year,UPI,1,0
139,72,32,151.44,386.12,3,Month-to-Month,Credit Card,1,0
140,40,4,168.53,137.31,9,Month-to-Month,PayPal,0,0
141,41,20,76.81,486.88,1,One Year,PayPal,0,0
142,54,50,21.95,371.62,7,Two Year,Credit Card,1,0
143,52,53,128.29,302.81,4,Two Year,UPI,1,0
144,61,36,45.85,460.94,3,One Year,PayPal,0,0
145,57,32,118.12,81.51,8,Month-to-Month,Credit Card,1,0
146,39,28,150.51,69.94,1,Two Year,Credit Card,0,1
147,44,13,158.89,282.07,2,Two Year,PayPal,1,0
148,52,1,67.35,28.83,7,Month-to-Month,UPI,1,0
149,18,56,107.36,332.16,3,Two Year,UPI,1,1
150,52,35,127.98,120.75,8,One Year,PayPal,0,1
151,54,48,165.7,59.95,9,Month-to-Month,Credit Card,1,0
152,64,30,154.66,205.04,9,One Year,UPI,0,0
153,31,54,197.72,233.24,9,Month-to-Month,Debit Card,1,0
154,20,36,11.54,85.66,9,One Year,Credit Card,1,0
155,18,57,93.12,21.25,8,One Year,UPI,1,0
156,22,55,58.65,207.32,9,One Year,Credit Card,0,0
157,43,25,32.78,379.88,8,Two Year,Debit Card,0,0
158,72,16,183.19,437.16,0,Two Year,PayPal,0,0
159,31,58,199.61,49.23,5,One Year,Debit Card,0,1
160,56,19,44.31,262.58,9,One Year,Credit Card,1,0
161,44,1,17.3,132.07,5,Month-to-Month,PayPal,1,0
162,26,5,62.26,187.63,7,Two Year,Debit Card,1,1
163,32,51,168.62,466.75,6,One Year,UPI,1,0
164,32,22,65.84,176.36,6,Two Year,Debit Card,1,0
165,43,24,20.81,182.99,1,Month-to-Month,Credit Card,0,1
166,59,43,19.97,105.09,3,One Year,UPI,0,0
167,30,45,91.21,480.03,0,Two Year,Debit Card,0,0
168,68,52,187.05,228.52,6,Month-to-Month,Credit Card,1,0
169,49,37,64.32,285.41,3,One Year,PayPal,1,0
170,56,53,91.16,226.86,8,Two Year,Debit Card,0,0
171,66,36,29.37,126.83,5,Month-to-Month,PayPal,1,0
172,69,36,103.78,405.3,5,Month-to-Month,UPI,0,0
173,49,4,142.34,14.72,8,Two Year,PayPal,1,0
174,21,36,61.52,345.28,7,One Year,Credit Card,0,0
175,47,52,66.38,297.34,5,Two Year,UPI,0,0
176,54,53,169.98,72.57,5,Month-to-Month,Debit Card,0,0
177,40,18,11.97,83.37,5,Month-to-Month,PayPal,1,1
178,56,50,130.93,329.78,3,One Year,UPI,0,0
179,62,16,84.84,156.41,4,Two Year,UPI,0,1
180,32,41,66.69,133.24,2,One Year,Debit Card,0,0
181,60,18,134.94,30.05,8,One Year,Debit Card,1,0
182,46,22,168.59,383.36,1,Month-to-Month,Debit Card,0,0
183,53,2,116.09,441.39,6,Two Year,Debit Card,1,0
184,30,21,15.91,410.01,0,Two Year,PayPal,0,0
185,49,36,97.67,233.28,9,Month-to-Month,UPI,1,1
186,24,44,97.92,267.21,6,Month-to-Month,Debit Card,1,1
187,68,39,113.32,121.52,1,Two Year,UPI,0,0
188,39,47,137.48,86.84,4,One Year,UPI,0,0
189,45,39,13.67,411.59,0,One Year,Credit Card,1,1
190,19,29,105.38,399.27,4,Two Year,Credit Card,1,1
191,59,54,121.78,388.79,3,One Year,Debit Card,1,0
192,62,26,75.24,231.95,0,One Year,Debit Card,0,1
193,74,21,136.99,432.32,0,Month-to-Month,Credit Card,0,0
194,70,17,53.35,463.15,6,One Year,UPI,1,0
195,23,16,70.3,164.51,2,Month-to-Month,Debit Card,0,1
196,45,31,192.92,112.73,9,One Year,PayPal,0,0
197,45,51,76.13,232.4,8,Two Year,Debit Card,0,0
198,61,9,75.84,90.07,8,Month-to-Month,Debit Card,1,0
199,61,31,123.18,442.06,9,Two Year,PayPal,0,0
200,37,14,194.49,169.33,8,Month-to-Month,Debit Card,0,0
201,47,49,196.79,288.3,0,One Year,UPI,1,0
202,28,37,120.14,297.56,3,Two Year,PayPal,1,0
203,72,2,10.21,257.74,0,Month-to-Month,PayPal,1,0
204,45,52,181.12,78.68,0,Two Year,Credit Card,0,0
205,42,48,118.35,495.5,8,Two Year,UPI,0,1
206,56,46,79.54,86.72,4,One Year,Credit Card,0,1
207,50,14,167.55,375.88,0,Month-to-Month,UPI,1,0
208,18,59,85.97,395.79,2,One Year,Debit Card,1,0
209,74,33,16.47,73.01,6,Two Year,Credit Card,0,0
210,44,35,166.0,466.62,1,Month-to-Month,Debit Card,0,0
211,74,58,113.71,244.14,3,Two Year,Debit Card,0,0
212,69,39,74.25,314.63,1,Two Year,Credit Card,1,0
213,30,58,57.67,321.27,8,Month-to-Month,Credit Card,1,1
214,58,47,122.82,252.73,8,Two Year,Debit Card,0,1
215,20,51,49.53,71.44,6,Month-to-Month,Debit Card,1,0
216,56,20,71.53,376.0,6,Month-to-Month,UPI,1,0
217,23,2,130.94,291.1,1,Month-to-Month,Debit Card,0,1
218,25,51,177.49,59.78,9,Two Year,PayPal,0,0
219,44,41,111.25,350.31,7,One Year,Debit Card,0,0
220,26,19,154.23,351.53,0,Two Year,Debit Card,0,0
221,54,59,154.98,274.47,7,Two Year,Debit Card,0,0
222,50,37,136.23,45.73,4,Month-to-Month,Credit Card,0,1
223,68,18,56.71,176.65,3,One Year,Credit Card,0,0
224,59,16,174.69,25.94,9,Month-to-Month,PayPal,0,0
225,61,4,92.89,239.06,1,Two Year,Debit Card,1,1
226,41,12,18.4,453.27,2,One Year,UPI,0,0
227,32,29,56.48,1.63,9,Month-to-Month,UPI,1,0
228,71,7,155.45,133.69,1,Two Year,Debit Card,0,0
229,49,14,23.14,400.03,3,Two Year,Debit Card,1,0
230,49,55,38.0,5.43,2,One Year,Debit Card,0,1
231,41,12,141.9,5.58,4,Two Year,Debit Card,1,0
232,58,35,179.59,305.6,6,Two Year,Debit Card,0,1
233,69,5,130.41,394.71,8,Two Year,Credit Card,0,1
234,66,17,52.24,388.36,4,Two Year,PayPal,1,0
235,66,58,20.15,389.9,7,One Year,Credit Card,1,1
236,69,42,126.87,180.82,1,Two Year,UPI,1,0
237,29,32,19.01,441.42,5,Two Year,Credit Card,0,1
238,56,10,126.42,6.91,7,Two Year,Credit Card,1,0
239,19,43,52.86,156.44,8,One Year,PayPal,1,0
240,20,17,181.88,168.93,3,One Year,UPI,0,0
241,66,5,100.27,83.2,3,Month-to-Month,UPI,0,1
242,54,45,52.55,168.44,6,One Year,Debit Card,0,0
243,66,42,172.1,293.15,3,Two Year,PayPal,0,0
244,73,9,58.27,260.38,4,One Year,Credit Card,1,0
245,34,49,68.25,160.05,1,One Year,Credit Card,0,0
246,66,33,168.51,374.79,1,One Year,Credit Card,0,0
247,19,36,68.67,357.54,9,Two Year,UPI,1,0
248,19,36,87.93,140.71,4,Month-to-Month,UPI,0,0
249,45,18,76.06,161.95,9,Month-to-Month,Credit Card,1,0
250,71,9,32.12,144.12,9,Month-to-Month,UPI,1,0
251,40,57,17.39,64.86,1,Month-to-Month,Debit Card,1,1
252,54,29,147.66,376.51,5,One Year,Credit Card,1,0
253,49,50,132.58,23.62,5,Month-to-Month,Credit Card,0,0
254,50,14,63.65,75.71,7,One Year,Debit Card,0,0
255,18,25,66.16,53.1,0,One Year,UPI,1,0
256,36,15,189.55,412.76,6,Month-to-Month,Credit Card,1,0
257,19,6,197.66,22.48,6,Two Year,Debit Card,0,0
258,70,56,99.95,332.48,8,Month-to-Month,PayPal,1,1
259,61,42,162.47,22.72,3,Month-to-Month,Debit Card,0,0
260,43,29,149.97,393.33,6,One Year,Credit Card,0,1
261,49,15,66.49,456.4,5,One Year,Debit Card,1,0
262,23,29,21.13,243.68,3,Month-to-Month,UPI,0,0
263,49,4,37.09,402.37,9,Month-to-Month,Credit Card,1,0
264,72,18,169.28,353.35,7,Two Year,Credit Card,1,0
265,21,50,148.93,397.92,2,Two Year,UPI,0,0
266,72,57,136.22,383.5,7,Two Year,UPI,1,0
267,28,49,34.82,103.08,4,One Year,UPI,0,0
268,73,44,131.59,250.03,3,Two Year,PayPal,0,0
269,34,39,156.71,480.23,2,One Year,Credit Card,0,0
270,55,16,173.51,172.09,9,One Year,Credit Card,1,0
271,41,11,12.51,485.26,6,Month-to-Month,Credit Card,0,0
272,22,14,140.05,291.79,6,Two Year,Debit Card,1,0
273,69,3,13.63,231.07,5,Month-to-Month,Credit Card,0,1
274,51,51,144.31,329.05,2,Month-to-Month,Credit Card,0,0
275,23,50,130.77,408.01,8,One Year,UPI,1,0
276,39,42,38.19,197.41,1,Two Year,UPI,1,0
277,28,38,155.56,16.96,2,Month-to-Month,UPI,0,0
278,65,45,22.99,354.55,0,One Year,Credit Card,1,1
279,33,42,167.02,478.11,6,Month-to-Month,UPI,1,0
280,50,18,59.77,312.68,1,Two Year,PayPal,1,1
281,26,58,140.88,94.61,9,One Year,UPI,1,0
282,23,20,185.5,124.5,7,Two Year,PayPal,1,0
283,33,58,74.57,454.92,8,Month-to-Month,Debit Card,1,0
284,46,48,105.55,7.27,1,One Year,PayPal,0,0
285,20,25,97.99,274.6,5,Month-to-Month,PayPal,1,0
286,37,57,39.95,79.76,0,Month-to-Month,Debit Card,1,0
287,53,38,122.16,141.74,7,Two Year,PayPal,1,0
288,36,13,151.17,153.84,4,One Year,Credit Card,0,0
289,43,4,184.21,110.03,8,Month-to-Month,Credit Card,1,0
290,20,55,171.65,396.28,2,Two Year,UPI,0,0
291,36,14,106.9,166.44,1,Two Year,UPI,1,1
292,37,33,146.61,173.07,6,One Year,UPI,0,0
293,49,28,162.15,226.78,6,Month-to-Month,UPI,0,0
294,24,52,103.76,451.2,9,One Year,Credit Card,0,0
295,69,37,31.93,344.24,4,One Year,UPI,0,0
296,58,8,93.21,31.34,6,Month-to-Month,PayPal,0,0
297,50,44,170.07,20.11,5,One Year,Debit Card,1,0
298,57,34,123.36,283.41,8,One Year,PayPal,1,0
299,56,44,147.65,443.59,2,One Year,Debit Card,1,1
300,35,5,45.2,161.96,3,Two Year,Credit Card,0,1
301,57,54,193.22,124.26,8,Month-to-Month,Debit Card,0,1
302,18,5,86.78,374.22,9,One Year,UPI,1,1
303,28,31,134.19,301.24,7,Two Year,Credit Card,1,0
304,45,45,13.59,282.73,9,Two Year,UPI,1,1
305,74,9,34.19,75.08,5,One Year,PayPal,1,0
306,42,42,158.59,88.39,2,Month-to-Month,PayPal,1,0
307,67,32,193.91,141.25,8,Two Year,UPI,1,1
308,40,33,70.81,103.82,8,One Year,Debit Card,0,0
309,48,3,17.06,485.74,5,Month-to-Month,PayPal,1,1
310,47,30,78.56,9.8,1,Month-to-Month,Debit Card,0,0
311,59,50,13.32,313.22,6,One Year,PayPal,1,0
312,52,12,46.55,259.04,8,Two Year,UPI,0,0
313,24,29,152.97,161.96,8,Month-to-Month,UPI,1,0
314,33,3,188.05,443.85,2,Month-to-Month,PayPal,0,1
315,43,26,26.62,335.25,1,Month-to-Month,PayPal,0,1
316,65,57,116.0,499.18,4,Month-to-Month,Debit Card,0,0
317,74,30,58.24,84.74,9,Two Year,Debit Card,0,0
318,69,9,36.42,44.39,6,Two Year,Debit Card,0,0
319,66,26,51.61,70.13,2,One Year,UPI,0,0
320,19,2,119.77,135.01,3,One Year,PayPal,1,0
321,18,3,22.38,208.69,9,Two Year,Credit Card,0,0
322,65,46,92.5,431.37,1,One Year,Debit Card,1,0
323,29,4,35.69,142.15,9,Month-to-Month,Credit Card,0,0
324,22,25,61.81,457.66,1,Two Year,UPI,1,1
325,54,51,46.24,231.72,6,Month-to-Month,Debit Card,1,0
326,49,13,177.77,323.71,1,Two Year,Debit Card,1,0
327,72,39,144.52,132.57,0,Two Year,Credit Card,1,0
328,26,44,175.01,78.43,3,One Year,Credit Card,0,0
329,58,35,82.86,434.79,5,Two Year,PayPal,0,1
330,52,55,69.55,55.2,9,One Year,Credit Card,0,0
331,36,23,82.31,387.12,9,Two Year,UPI,0,1
332,65,9,13.52,290.7,3,Month-to-Month,Debit Card,0,0
333,33,2,147.69,430.64,0,Month-to-Month,Credit Card,1,0
334,20,54,76.46,359.05,0,Month-to-Month,UPI,1,0
335,37,41,69.53,141.19,8,Month-to-Month,Credit Card,0,1
336,41,44,123.65,287.43,0,Month-to-Month,Credit Card,1,0
337,71,31,92.89,7.03,6,Month-to-Month,Credit Card,1,0
338,73,44,196.36,237.87,6,Two Year,PayPal,0,1
339,50,47,77.69,43.46,0,One Year,Debit Card,0,0
340,41,2,126.64,214.76,0,Two Year,Debit Card,0,1
341,69,32,69.21,55.25,5,Month-to-Month,Debit Card,0,1
342,28,18,198.21,477.76,7,Month-to-Month,PayPal,0,0
343,66,13,94.57,261.77,6,Two Year,Credit Card,0,0
344,25,46,130.48,456.65,5,One Year,Debit Card,1,0
345,53,5,34.08,11.67,9,One Year,Debit Card,0,1
346,55,58,149.27,319.01,2,One Year,Credit Card,0,0
347,57,42,61.15,153.82,6,One Year,Debit Card,1,0
348,37,44,95.24,216.2,5,Month-to-Month,Credit Card,0,0
349,52,10,177.8,436.61,7,Month-to-Month,PayPal,0,0
350,65,56,194.4,490.02,3,One Year,Debit Card,1,0
351,42,43,90.67,123.62,8,Two Year,Debit Card,0,0
352,52,25,168.61,474.15,0,Two Year,Credit Card,0,0
353,42,34,20.14,344.52,6,Month-to-Month,UPI,0,1
354,46,37,171.04,475.73,8,Two Year,PayPal,1,0
355,35,30,129.61,281.4,9,Month-to-Month,Debit Card,0,0
356,63,7,102.85,480.4,0,Month-to-Month,Credit Card,1,0
357,35,6,179.09,446.28,9,One Year,PayPal,0,0
358,19,54,170.61,64.73,2,One Year,Credit Card,1,0
359,71,55,66.42,155.74,6,One Year,UPI,1,0
360,52,3,160.38,121.91,8,One Year,Debit Card,0,0
361,33,13,28.9,286.26,0,One Year,UPI,0,0
362,58,3,166.33,401.5,5,One Year,Debit Card,1,1
363,53,26,138.34,379.83,1,Two Year,UPI,1,0
364,50,57,26.69,363.51,4,One Year,Debit Card,1,0
365,21,24,139.79,187.94,6,One Year,Credit Card,0,0
366,50,53,120.3,70.25,6,Month-to-Month,PayPal,0,0
367,31,6,122.96,105.69,9,Month-to-Month,Debit Card,1,0
368,38,43,65.26,370.97,6,One Year,Debit Card,1,0
369,65,58,60.63,74.19,3,Month-to-Month,Credit Card,0,1
370,37,49,154.88,111.86,5,Two Year,UPI,1,0
371,73,42,58.79,212.56,9,Two Year,Debit Card,0,0
372,25,12,94.79,36.52,5,Two Year,UPI,1,0
373,24,49,142.01,106.74,6,Two Year,Credit Card,0,0
374,20,36,25.13,75.31,8,One Year,Debit Card,1,0
375,34,2,122.96,475.69,5,Two Year,PayPal,0,1
376,50,11,121.98,96.17,9,Two Year,Debit Card,0,0
377,65,39,140.0,430.95,0,Two Year,Credit Card,1,1
378,29,34,80.29,57.84,7,Two Year,UPI,1,0
379,68,26,95.31,434.9,1,Month-to-Month,Debit Card,1,0
380,39,18,72.69,299.92,2,Two Year,Credit Card,0,0
381,72,21,163.55,424.93,4,Two Year,Credit Card,1,0
382,39,36,34.82,433.74,5,Month-to-Month,Credit Card,0,1
383,63,40,192.96,298.39,6,Month-to-Month,UPI,0,0
384,47,52,130.62,458.89,3,One Year,UPI,0,0
385,55,46,178.51,292.93,2,Month-to-Month,PayPal,0,0
386,55,44,90.98,356.43,8,Month-to-Month,PayPal,0,1
387,62,22,73.13,208.33,3,Month-to-Month,Debit Card,0,1
388,68,53,181.14,457.08,8,Two Year,Credit Card,0,0
389,71,59,28.79,412.17,8,One Year,PayPal,0,0
390,25,30,32.25,83.77,2,One Year,UPI,1,0
391,44,50,66.88,288.41,2,Two Year,Credit Card,1,0
392,44,43,192.36,448.47,7,One Year,Debit Card,1,0
393,51,30,130.28,396.64,0,Two Year,Credit Card,1,1
394,38,8,115.3,481.3,5,Month-to-Month,PayPal,1,0
395,47,34,144.02,116.04,5,Two Year,PayPal,0,0
396,50,57,89.32,184.05,8,Two Year,Credit Card,1,0
397,45,47,154.03,253.84,1,Month-to-Month,UPI,1,0
398,64,9,84.71,116.72,7,Month-to-Month,Credit Card,0,0
399,50,51,167.01,197.33,6,One Year,Credit Card,0,0
400,22,20,60.79,269.0,1,Two Year,Credit Card,1,0
401,65,40,62.73,96.07,0,Month-to-Month,Credit Card,1,0
402,36,25,109.25,128.72,3,One Year,Credit Card,1,0
403,21,19,91.84,62.86,1,Two Year,UPI,1,1
404,52,5,133.14,356.83,2,Month-to-Month,Debit Card,0,0
405,66,11,79.22,181.1,1,Month-to-Month,Debit Card,1,0
406,34,15,53.8,110.52,8,Two Year,PayPal,1,0
407,61,8,99.26,253.91,3,Month-to-Month,UPI,0,0
408,45,19,116.58,34.59,0,Two Year,Credit Card,1,0
409,47,23,37.09,461.74,7,Two Year,UPI,0,0
410,46,27,115.78,147.59,3,Two Year,Debit Card,0,1
411,63,40,70.66,443.29,9,Month-to-Month,Credit Card,0,0
412,70,32,84.57,249.06,7,Month-to-Month,UPI,0,0
413,23,26,63.07,425.15,7,Two Year,PayPal,0,0
414,52,27,186.97,123.91,8,One Year,Debit Card,1,0
415,58,19,139.83,88.05,9,Two Year,Credit Card,1,0
416,54,50,59.87,424.78,6,Two Year,Credit Card,0,0
417,41,42,132.56,106.86,3,Two Year,Credit Card,1,0
418,46,29,171.23,373.22,1,One Year,Credit Card,0,0
419,66,39,86.31,172.62,5,Month-to-Month,Credit Card,0,0
420,63,41,167.69,374.22,3,Month-to-Month,Credit Card,1,0
421,70,33,39.34,453.87,5,Two Year,UPI,1,0
422,48,19,166.33,490.83,7,Two Year,PayPal,1,0
423,52,37,112.66,180.22,2,Month-to-Month,UPI,1,0
424,50,19,52.37,184.08,0,Two Year,UPI,1,1
425,69,33,87.36,490.7,4,Month-to-Month,Credit Card,0,0
426,38,47,197.72,430.83,2,One Year,Credit Card,1,0
427,49,16,158.88,23.02,5,Two Year,UPI,1,0
428,40,23,119.27,286.94,2,Month-to-Month,Debit Card,1,0
429,50,7,31.88,91.03,0,Month-to-Month,Credit Card,1,1
430,20,26,89.38,497.01,8,One Year,Credit Card,1,0
431,35,32,59.98,69.89,4,Two Year,Debit Card,1,0
432,42,12,23.49,279.89,1,One Year,UPI,0,0
433,59,8,113.02,332.77,1,Month-to-Month,Debit Card,0,1
434,48,5,178.95,468.56,8,Month-to-Month,Credit Card,0,0
435,71,42,138.36,423.71,0,One Year,PayPal,0,0
436,20,28,57.44,123.25,9,One Year,Debit Card,0,1
437,57,53,118.98,286.53,2,One Year,Debit Card,1,1
438,63,5,189.21,476.81,9,Two Year,Credit Card,0,0
439,41,49,147.35,367.99,6,Month-to-Month,Debit Card,1,0
440,67,26,141.0,344.32,0,Two Year,Credit Card,0,1
441,49,5,193.95,377.57,1,Two Year,PayPal,0,0
442,64,22,161.79,161.59,5,One Year,PayPal,1,1
443,39,15,35.96,364.76,8,Two Year,UPI,1,0
444,40,13,76.05,116.81,8,Two Year,Credit Card,0,0
445,19,28,193.38,214.34,7,One Year,PayPal,0,0
446,44,33,103.04,445.02,2,One Year,Credit Card,0,0
